"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-123.43","48.65","VICTORIA INTL A","1018621","2020-01-01","2020","01","01","","12.9","","5.5","","9.2","","8.8","","0.0","","0.0","T","0.0","","0.0","T","","","26","","59",""
"-123.43","48.65","VICTORIA INTL A","1018621","2020-01-02","2020","01","02","","6.0","","0.9","","3.5","","14.5","","0.0","","14.6","","0.0","","14.6","","","","14","","45",""
"-123.43","48.65","VICTORIA INTL A","1018621","2020-01-03","2020","01","03","","10.9","","5.9","","8.4","","9.6","","0.0","","11.2","","0.0","","11.2","","","","15","","39",""
"-123.43","48.65","VICTORIA INTL A","1018621","2020-01-04","2020","01","04","","8.2","","3.1","","5.7","","12.3","","0.0","","11.8","","0.0","","11.8","","","","27","","52",""
"-123.43","48.65","VICTORIA INTL A","1018621","2020-01-05","2020","01","05","","8.3","","4.8","","6.6","","11.4","","0.0","","2.0","","0.0","","2.0","","","","25","","65",""
"-123.43","48.65","VICTORIA INTL A","1018621","2020-01-06","2020","01","06","","5.8","","3.4","","4.6","","13.4","","0.0","","14.8","","0.0","","14.8","","","","12","","33",""
"-123.43","48.65","VICTORIA INTL A","1018621","2020-01-07","2020","01","07","","9.9","","5.4","","7.7","","10.3","","0.0","","20.3","","0.0","","20.3","","","","24","","52",""
"-123.43","48.65","VICTORIA INTL A","1018621","2020-01-08","2020","01","08","","7.3","","0.4","","3.9","","14.1","","0.0","","0.0","T","0.0","","0.0","T","","","28","","52",""
"-123.43","48.65","VICTORIA INTL A","1018621","2020-01-09","2020","01","09","","5.3","","-2.3","","1.5","","16.5","","0.0","","0.0","","0.0","","0.0","","","","","M","","M"
"-123.43","48.65","VICTORIA INTL A","1018621","2020-01-10","2020","01","10","","7.5","","1.9","","4.7","","13.3","","0.0","","22.6","","0.0","","22.6","","","","15","","65",""
"-123.43","48.65","VICTORIA INTL A","1018621","2020-01-11","2020","01","11","","6.9","","3.5","","5.2","","12.8","","0.0","","5.0","","0.0","","5.0","","","","29","","33",""
"-123.43","48.65","VICTORIA INTL A","1018621","2020-01-12","2020","01","12","","6.1","","-1.5","","2.3","","15.7","","0.0","","9.8","","2.5","","12.3","","3","E","32","","54",""
"-123.43","48.65","VICTORIA INTL A","1018621","2020-01-13","2020","01","13","","-0.5","","-5.1","","-2.8","","20.8","","0.0","","0.0","","2.3","","2.3","","3","","6","","39",""
"-123.43","48.65","VICTORIA INTL A","1018621","2020-01-14","2020","01","14","","-3.9","","-5.5","","-4.7","","22.7","","0.0","","0.0","","4.5","","4.5","","4","","6","","33",""
